reference_split,comparison_split,feature,channel,statistic,reference_mean,comparison_mean,standardized_mean_difference,population_stability_index,jensen_shannon_divergence,model_importance,importance_weighted_smd
train,validation,b02_2018__min,b02_2018,min,0.1345527470111847,0.1260559856891632,0.34536269307136536,0.14600096263094076,0.026031792966406293,0.006791210971111,0.0023454309101986976
train,validation,ndvi_2018__mean,ndvi_2018,mean,0.03397175669670105,0.03518267720937729,0.35771632194519043,0.5500106008367236,0.08149382021619694,0.0064405849601428,0.0023039023631177932
train,validation,ndvi_diff__p90,ndvi_diff,p90,0.021280255168676376,0.02254492975771427,0.3530365824699402,0.37176187715070974,0.06165369438496883,0.0064853822432897,0.00228957718318223
train,validation,b02_2018__p75,b02_2018,p75,0.2929248809814453,0.3006852865219116,0.4081963002681732,0.19383401637258835,0.034039886095691946,0.0055964010281637,0.002284430194513423
train,validation,ndvi_2022__p10,ndvi_2022,p10,0.014745460823178291,0.01501088310033083,0.14381232857704163,1.275716107943199,0.19857460827129014,0.0150562811705731,0.0021652788548507836
train,validation,ndvi_2018__median,ndvi_2018,median,0.033942874521017075,0.03509023040533066,0.3475591540336609,0.5398269310301357,0.08026815454218424,0.0061940873886523,0.002152811772810561
train,validation,ndvi_2018__p25,ndvi_2018,p25,0.03019312024116516,0.031127331778407097,0.29295432567596436,0.7729233633853025,0.11589111381592078,0.0073021154785524,0.00213918631602734
train,validation,b08_2018__std,b08_2018,std,0.00487750256434083,0.005145675502717495,0.04806702956557274,0.2786395800491993,0.049102271780888065,0.0410062797651381,0.00197105006184504
train,validation,ndvi_diff__max,ndvi_diff,max,0.032088179141283035,0.03517818823456764,0.38110628724098206,0.2619294239781484,0.043908312663340665,0.0050676203171621,0.0019313019642206157
train,validation,b04_2018__min,b04_2018,min,0.11446057260036469,0.11338800936937332,0.3745338022708893,0.14522550841291532,0.025671433903146235,0.0047956126787903,0.001796119050805816
train,validation,ndvi_2018__p10,ndvi_2018,p10,0.026690779253840446,0.027401048690080643,0.22275406122207642,0.8804391104072549,0.14443199147638183,0.0078693966514302,0.001752940063473486
train,validation,ndvi_2022__p90,ndvi_2022,p90,0.023154234513640404,0.023968836292624474,0.3447800874710083,0.27490625086950765,0.04442736653614271,0.0050584325363505,0.0017440468123491198
train,validation,ndvi_2022__p75,ndvi_2022,p75,0.0207777488976717,0.021379074081778526,0.31305161118507385,0.32512690636983815,0.05244775423360003,0.0054533063390389,0.0017071663357219042
train,validation,b08_2018__max,b08_2018,max,0.14533406496047974,0.14691409468650818,0.04786669835448265,0.12067115696358377,0.02125965078944282,0.0348855252222051,0.001669854912748988
train,validation,b02_2022__p10,b02_2022,p10,0.3121403753757477,0.3033068776130676,0.4765067398548126,0.3993117442917035,0.07008148696467036,0.0033726768632873,0.001607103256708787
train,validation,b02_2018__mean,b02_2018,mean,0.2658555507659912,0.27131780982017517,0.3344402015209198,0.2562387675242677,0.04085510596580237,0.0047844275587662,0.0016001049169160103
train,validation,b03_2018__std,b03_2018,std,0.0038897355552762747,0.004228133708238602,0.10541027039289474,0.22600746908950126,0.040165969243792024,0.0148688620425372,0.0015673307683384955
train,validation,b02_2018__median,b02_2018,median,0.2662307024002075,0.2718246579170227,0.3443184494972229,0.21717299096255088,0.0356928466232185,0.0045407944297257,0.0015634792975287796
train,validation,ndvi_2022__std,ndvi_2022,std,0.00361243006773293,0.0039026672020554543,0.24437803030014038,0.3006138842591344,0.052450940081743225,0.0061895038406913,0.0015125787571232938
train,validation,b03_2018__min,b03_2018,min,0.10982026159763336,0.10919413715600967,0.3537314832210541,0.25985792377820277,0.045386419010014764,0.0038892116750704,0.0013757366143832927
train,validation,ndvi_2018__max,ndvi_2018,max,0.05727134272456169,0.06062722206115723,0.29689329862594604,0.12741987370434177,0.022694744044544468,0.004610169395885,0.0013687283991686825
train,validation,b08_2018__min,b08_2018,min,0.10877455770969391,0.10807540267705917,0.3460616171360016,0.14505771313887728,0.025767852435711242,0.0038847032532762,0.0013443466899222482
